"Statistic","Quarter","Income Support Recipients","County","Sex","Age Group","Employment Record","UNIT","VALUE"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Both sexes","All ages","Different Employer","Number","30"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Both sexes","All ages","Same Employer","Number","40"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Both sexes","All ages","Different Employer","Number","29"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","All ages","Same Employer","Number","39"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","All ages","Different Employer","Number","30"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","Under 25 years","Same Employer","Number","21"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","Under 25 years","Different Employer","Number","21"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","25 years and over","Same Employer","Number","41"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","25 years and over","Different Employer","Number","36"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Male","All ages","Same Employer","Number","39"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Male","All ages","Different Employer","Number","31"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Ireland","Male","25 years and over","Same Employer","Number",""
